species,assembly_accession
Natranaerobius,GCF_000020005.1
Nautilia,GCF_000021725.1
Ndongobacter,GCF_900120375.1
Neisseria,GCF_014297595.1
Neoasaia,GCF_002005465.1
Neoehrlichia,GCF_024299005.1
Neokomagataea,GCF_006542335.1
Neomicrococcus,GCF_001887245.1
Neorhizobium,GCF_000731315.1
Neorickettsia,GCF_000632985.1
Neptunomonas,GCF_013394205.1
Nesterenkonia,GCF_019575955.1
Niabella,GCF_001654455.1
Niallia,GCF_013267435.1
Niastella,GCF_000246855.1
Nibribacter,GCF_009913235.1
Nibricoccus,GCF_002310495.1
Nisaea,GCF_024662015.1
Nitratifractor,GCF_000186245.1
Nitratireductor,GCF_019891395.1
Nitrincola,GCF_008727795.1
Nitrobacter,GCF_000013885.1
Nitrosococcus,GCF_000024725.1
Nitrosomonas,GCF_001007935.1
Nitrosophilus,GCF_014466985.1
Nitrosospira,GCF_000355765.4
Nitrospira,GCF_001273775.1
Nitrospirillum,GCF_000730165.1
Niveispirillum,GCF_002868735.1
Nocardia,GCF_019222765.1
Nocardioides,GCF_006494775.1
Nocardiopsis,GCF_024134545.1
Nonlabens,GCF_002117125.1
Nonomuraea,GCF_020215645.1
Nosocomiicoccus,GCF_019357495.1
Nostoc,GCF_002813575.1
Novacetimonas,GCF_014843995.1
Novibacillus,GCF_002005165.1
Novisyntrophococcus,GCF_018866245.1
Novosphingobium,GCF_001742225.1
Occallatibacter,GCF_025264625.1
Occultella,GCF_009708215.1
Oceanicoccus,GCF_002117105.1
Oceanidesulfovibrio,GCF_013085545.1
Oceanisphaera,GCF_002157895.1
Oceanithermus,GCF_000183745.1
Oceanobacillus,GCF_003352005.1
Octadecabacter,GCF_000155735.2
Odoribacter,GCF_020736405.1
Oenococcus,GCF_020510245.1
Oleidesulfovibrio,GCF_000012665.1
Oleiphilus,GCF_002162375.1
Oligella,GCF_016028735.1
Olsenella,GCF_900119915.1
Opitutus,GCF_000019965.1
Orientia,GCF_000010205.1
Ornithinimicrobium,GCF_007197575.1
Ornithobacterium,GCF_000756505.1
Orrella,GCF_900089455.2
Oryzomicrobium,GCF_008274805.1
Oscillatoria,GCF_000317475.1
Otariodibacter,GCF_009684715.1
Owenweeksia,GCF_000236705.1
Oxalobacter,GCF_027118995.1
Oxynema,GCF_012295525.1
Pacificitalea,GCF_002504165.1
Paenacidovorax,GCF_014489595.1
Paenalkalicoccus,GCF_006965545.2
Paenarthrobacter,GCF_017357445.1
Paenibacillus,GCF_018604145.1
Paeniclostridium,GCF_002865995.1
Paenisporosarcina,GCF_004367585.1
Pajaroellobacter,GCF_001931505.1
Paludibacter,GCF_000183135.1
Paludibacterium,GCF_018802645.1
Paludibaculum,GCF_015277775.1
Paludisphaera,GCF_001956985.1
Panacibacter,GCF_007971225.1
Pandoraea,GCF_000972785.3
Pantoea,GCF_011044475.1
Parabacteroides,GCF_020091425.1
Paraburkholderia,GCF_002902965.1
Parachlamydia,GCF_000253035.1
Paracholeplasma,GCF_000967915.1
Paracidovorax,GCF_000176855.2
Paraclostridium,GCF_019916025.1
Paracoccus,GCF_000203895.1
Paradevosia,GCF_016801025.1
Parafannyhessea,GCF_900105025.1
Paraflavitalea,GCF_003555545.1
Parageobacillus,GCF_001700985.1
Paraliobacillus,GCF_003268595.1
Paraoerskovia,GCF_900105445.1
Paraphotobacterium,GCF_002216855.1
Paraprevotella,GCF_900683745.1
Pararhodospirillum,GCF_000284415.1
Parascardovia,GCF_001042675.1
Parasedimentitalea,GCF_004006175.1
Parashewanella,GCF_004358345.1
Parasphaerochaeta,GCF_000208385.1
Parasphingopyxis,GCF_013378075.1
Parasynechococcus,GCF_000195975.1
Paraurantiacibacter,GCF_001687545.1
Paremcibacter,GCF_006385135.1
Paroceanicella,GCF_005887635.2
Parolsenella,GCF_900143685.1
Parvibaculum,GCF_000017565.1
Parvimonas,GCF_003454775.1
Parvularcula,GCF_000152825.2
Pasteurella,GCF_002073255.2
Paucilactobacillus,GCF_000829395.1
Pauljensenia,GCF_001746855.1
Pectinatus,GCF_014076555.1
Pectobacterium,GCF_003992745.1
Pediococcus,GCF_002982135.1
Pedobacter,GCF_014395225.1
Pedococcus,GCF_900104525.1
Pelagerythrobacter,GCF_001028625.1
Pelagibacterium,GCF_013004005.1
Pelagovum,GCF_016134045.1
Pelistega,GCF_009833965.1
Pelobacter,GCF_000015045.1
Pelodictyon,GCF_000020645.1
Pelolinea,GCF_003966975.1
Peptacetobacter,GCF_008151785.1
Peptoclostridium,GCF_000597865.1
Peribacillus,GCF_002243645.1
Periweissella,GCF_004358325.1
Permianibacter,GCF_009756665.1
Persephonella,GCF_000021565.1
Persicimonas,GCF_006517175.1
Peterkaempfera,GCF_003258605.2
Peteryoungia,GCF_005860795.2
Petrimonas,GCF_900095795.1
Petrocella,GCF_900538275.1
Petrotoga,GCF_000018605.1
Phaeobacter,GCF_000511385.1
Phascolarctobacterium,GCF_003945365.1
Phenylobacterium,GCF_000017265.1
Phnomibacter,GCF_009740285.1
Phocaeicola,GCF_902387545.1
Phoenicibacter,GCF_900169485.1
Photobacterium,GCF_000940995.1
Photorhabdus,GCF_019090985.1
Phototrophicus,GCF_015500095.1
Phreatobacter,GCF_005144885.1
Phycisphaera,GCF_000284115.1
Phyllobacterium,GCF_002764115.1
Phytobacter,GCF_012923785.1
Phytohabitans,GCF_011764565.1
Pigmentiphaga,GCF_008119665.1
Pimelobacter,GCF_000785495.1
Pirellula,GCF_000025185.1
Pirellulimonas,GCF_007750855.1
Piscirickettsia,GCF_009708955.1
Pistricoccus,GCF_007954585.1
Planctopirus,GCF_000092105.1
Planktothrix,GCF_904830955.1
Planococcus,GCF_001999905.1
Plesiomonas,GCF_020991025.1
Pluralibacter,GCF_003019925.1
Polaribacter,GCF_002814075.1
Polaromonas,GCF_000015505.1
Polyangium,GCF_005144635.2
Polycladomyces,GCF_018326425.1
Polymorphospora,GCF_018324255.1
Polymorphum,GCF_000192745.1
Polynucleobacter,GCF_001659725.1
Polystyrenella,GCF_007750395.1
Pontibacter,GCF_000973725.1
Ponticoccus,GCF_016806125.1
Pontimonas,GCF_002950575.1
Poriferisphaera,GCF_007747445.1
Porphyromonas,GCF_022845615.1
Poseidonibacter,GCF_013283835.1
Pragia,GCF_900638655.1
Prauserella,GCF_002240355.1
Prescottella,GCF_003013675.1
Prevotella,GCF_002849795.1
Priestia,GCF_002688605.1
Prochlorococcus,GCF_000015665.1
Profundibacter,GCF_003544895.1
Propionibacterium,GCF_003798325.1
Propioniciclava,GCF_011393335.1
Prosthecochloris,GCF_000020625.1
Protaetiibacter,GCF_003627075.1
Proteiniphilum,GCF_900095135.1
Proteus,GCF_011045835.1
Providencia,GCF_002843235.3
Pseudalgibacter,GCF_001310225.1
Pseudarthrobacter,GCF_009911795.1
Pseudazoarcus,GCF_002872475.1
Pseudoalteromonas,GCF_000238295.3
Pseudobdellovibrio,GCF_000348725.1
Pseudoclostridium,GCF_002896855.1
Pseudocnuella,GCF_004347775.1
Pseudodesulfovibrio,GCF_900217235.1
Pseudoduganella,GCF_004209755.1
Pseudohongiella,GCF_001444425.1
Pseudolabrys,GCF_003367395.1
Pseudoleptotrichia,GCF_007990505.1
Pseudolysobacter,GCF_004168365.1
Pseudonocardia,GCF_003945385.1
Pseudooceanicola,GCF_017795125.1
Pseudopedobacter,GCF_000190735.1
Pseudoprevotella,GCF_003265305.2
Pseudopuniceibacterium,GCF_014899185.1
Pseudorhizobium,GCF_902502825.2
Pseudorhodobacter,GCF_005234135.1
Pseudorhodoplanes,GCF_002119765.1
Pseudosulfitobacter,GCF_013347125.1
Pseudothauera,GCF_003345255.1
Pseudothermotoga,GCF_000504085.1
Pseudovibrio,GCF_018282095.1
Pseudoxanthomonas,GCF_014397415.1
Psychrobacillus,GCF_008973485.1
Psychrobacter,GCF_904848165.1
Psychroflexus,GCF_000153485.2
Psychromicrobium,GCF_000950575.1
Psychromonas,GCF_000015285.1
Pukyongia,GCF_002966125.1
Pukyongiella,GCF_003008555.2
Pulveribacter,GCF_003013695.1
Pusillibacter,GCF_018408705.1
Pusillimonas,GCF_004022565.1
Pyramidobacter,GCF_022846135.1
Qingshengfaniella,GCF_007855645.1
Qipengyuania,GCF_008932225.1
Quatrionicoccus,GCF_020510525.1
Rahnella,GCF_021276285.1
Raineyella,GCF_009646095.1
Ralstonia,GCF_001663855.1
Ramlibacter,GCF_000215705.1
Raoultella,GCF_006711645.1
Raoultibacter,GCF_022845715.1
Rathayibacter,GCF_009834205.1
Reinekea,GCF_002795845.1
Renibacterium,GCF_000018885.1
Rheinheimera,GCF_003990335.1
Rhizobacter,GCF_002762215.1
Rhizobium,GCF_003627755.1
Rhizorhabdus,GCF_017607425.1
Rhodanobacter,GCF_021545825.1
Rhodobacter,GCF_000021865.1
Rhodocaloribacter,GCF_011682235.2
Rhodococcus,GCF_017068375.1
Rhodocytophaga,GCF_010119975.1
Rhodoferax,GCF_001955695.1
Rhodoluna,GCF_000699505.1
Rhodomicrobium,GCF_000166055.1
Rhodopirellula,GCF_000196115.1
Rhodopseudomonas,GCF_021184025.1
Rhodospirillum,GCF_000016185.1
Rhodothermus,GCF_000024845.1
Rhodovastum,GCF_937425535.1
Rhodovulum,GCF_001633145.1
Richelia,GCF_019056575.1
Rickettsiales,GCF_003932735.1
Riemerella,GCF_019552185.1
Rippkaea,GCF_000021805.1
Robiginitalea,GCF_000024125.1
Rodentibacter,GCF_010587025.1
Romboutsia,GCF_900015215.1
Roseateles,GCF_001483865.1
Roseburia,GCF_900537995.1
Roseibacterium,GCF_000590925.1
Roseibium,GCF_000158095.2
Roseicitreum,GCF_014681765.1
Roseiflexus,GCF_000017805.1
Roseimaritima,GCF_008065135.1
Roseitalea,GCF_004331955.1
Roseobacter,GCF_000154785.2
Roseomonas,GCF_001941945.1
Roseovarius,GCF_008728195.1
Rosistilla,GCF_007741475.1
Rothia,GCF_900637985.1
Rouxiella,GCF_011067265.1
Ruania,GCF_008000995.1
Rubinisphaera,GCF_000165715.2
Rubripirellula,GCF_007741535.1
Rubrobacter,GCF_011492945.1
Ruegeria,GCF_000011965.2
Rufibacter,GCF_001310085.1
Rugosibacter,GCF_000934545.1
Ruminiclostridium,GCF_029318685.1
Ruminococcus,GCF_000179635.2
Runella,GCF_003325355.1
Saccharibacillus,GCF_006542275.1
Saccharobesus,GCF_003063625.1
Saccharomonospora,GCF_000244955.1
Saccharophagus,GCF_000013665.1
Saccharopolyspora,GCF_014697215.1
Saccharospirillum,GCF_003367315.1
Saccharothrix,GCF_009498035.1
Salaquimonas,GCF_001953055.1
Salegentibacter,GCF_900142975.1
Salidesulfovibrio,GCF_008001235.1
Salimicrobium,GCF_001685435.2
Salinicoccus,GCF_001005905.1
Salinicola,GCF_003006155.1
Salinimonas,GCF_003429285.1
Saliniradius,GCF_003143555.1
Salinispira,GCF_000507245.1
Salinispora,GCF_000016425.1
Salinivibrio,GCF_027286365.1
Salinivirga,GCF_001443605.1
Salipiger,GCF_001975705.1
Salisediminibacterium,GCF_001721685.1
Salmonella,GCF_000006945.2
Sandaracinus,GCF_000737325.1
Sanguibacter,GCF_000024925.1
Saprospira,GCF_000250635.1
Scandinavium,GCF_003935895.2
Scardovia,GCF_001042695.1
Schaalia,GCF_900106055.1
Schlegelella,GCF_026013905.1
Schleiferilactobacillus,GCF_008694105.1
Sebaldella,GCF_000024405.1
Secundilactobacillus,GCF_001702155.1
Sedimenticola,GCF_001007875.1
Sedimentisphaera,GCF_002117005.1
Sediminibacillus,GCF_017792025.1
Sediminicoccus,GCF_023243115.1
Sediminispirochaeta,GCF_000143985.1
Segatella,GCF_020735445.1
Segniliparus,GCF_000092825.1
Selenomonas,GCF_000208405.1
Serinicoccus,GCF_001685415.1
Serpentinicella,GCF_018141405.1
Serpentinimonas,GCF_000828915.1
Serratia,GCF_001006005.1
Shewanella,GCF_007197555.1
Shigella,GCF_022354085.1
Shimwellia,GCF_000262305.1
Shouchella,GCF_007725405.1
Siansivirga,GCF_000941055.1
Siccibacter,GCF_025914095.1
Sideroxydans,GCF_000025705.1
Silicimonas,GCF_003970735.1
Silvanigrella,GCF_001907975.1
Simkania,GCF_000237205.1
Simonsiella,GCF_002951835.1
Simplicispira,GCF_003008595.1
Singulisphaera,GCF_000242455.2
Sinorhizobium,GCF_013488225.1
Skermanella,GCF_016765655.2
Skermania,GCF_019285775.1
Slackia,GCF_900637575.1
Sneathia,GCF_000973085.1
Snodgrassella,GCF_000600005.1
Sodaliphilus,GCF_009676955.1
Sodalis,GCF_000517425.1
Solidesulfovibrio,GCF_000010665.1
Solitalea,GCF_000242635.2
Sorangium,GCF_000067165.1
Spartinivicinus,GCF_011009015.1
Sphaerobacter,GCF_000024985.1
Sphaerochaeta,GCF_000236685.1
Sphaerospermopsis,GCF_002368075.1
Sphaerotilus,GCF_008329925.1
Sphingobacterium,GCF_023277505.1
Sphingobium,GCF_002504085.1
Sphingomicrobium,GCF_024721605.1
Sphingomonas,GCF_000512205.2
Sphingopyxis,GCF_001314325.1
Sphingorhabdus,GCF_009768975.1
Sphingosinithalassobacter,GCF_011057975.1
Spiribacter,GCF_000485905.1
Spirochaeta,GCF_000242595.2
Spiroplasma,GCF_009866525.1
Spirosoma,GCF_010233585.1
Sporolactobacillus,GCF_019930545.1
Sporomusa,GCF_007641255.1
Sporosarcina,GCF_001590685.1
Stackebrandtia,GCF_000024545.1
Stanieria,GCF_000317575.1
Staphylococcus,GCF_002442935.1
Staphylospora,GCF_003856495.1
Stappia,GCF_009789575.1
Starkeya,GCF_000092925.1
Stenotrophomonas,GCF_000661955.1
Steroidobacter,GCF_001579945.1
Stieleria,GCF_007754155.1
Streptantibioticus,GCF_000237305.1
Streptobacillus,GCF_000024565.1
Streptococcus,GCF_003086355.1
Streptomonospora,GCF_026642255.1
Streptomyces,GCF_025908395.1
Streptosporangium,GCF_000024865.1
Subdoligranulum,GCF_025152575.1
Succinivibrio,GCF_016747875.1
Suicoccus,GCF_003546865.1
Sulfidibacter,GCF_017498545.1
Sulfitobacter,GCF_001886735.1
Sulfuricaulis,GCF_002355735.1
Sulfuricella,GCF_000297055.2
Sulfuricurvum,GCF_000183725.1
Sulfuriferula,GCF_009938015.1
Sulfuriflexus,GCF_003967195.1
Sulfurifustis,GCF_002355415.1
Sulfurihydrogenibium,GCF_000021545.1
Sulfurimicrobium,GCF_011764585.1
Sulfurimonas,GCF_000242915.1
Sulfuriroseicoccus,GCF_010681825.2
Sulfuritalea,GCF_000828635.1
Sulfuritortus,GCF_003967275.1
Sulfurivermis,GCF_004001245.1
Sulfurospirillum,GCF_000568815.1
Sulfurovum,GCF_000987835.1
Sutcliffiella,GCF_002250055.1
Sutterella,GCF_016724805.1
Swingsia,GCF_006542355.1
Symbiobacterium,GCF_000009905.1
Symmachiella,GCF_007747995.1
Synechococcus,GCF_000012525.1
Syntrophobacter,GCF_000014965.1
Syntrophobotulus,GCF_000190635.1
Syntrophomonas,GCF_000014725.1
Syntrophotalea,GCF_000012885.1
Syntrophothermus,GCF_000092405.1
Syntrophus,GCF_000013405.1
Tabrizicola,GCF_003940805.1
Tamlana,GCF_002893765.1
Tannerella,GCF_000238215.1
Tardibacter,GCF_001890385.1
Tardiphaga,GCF_014189415.1
Tatumella,GCF_002163605.1
Tautonia,GCF_007752535.1
Taylorella,GCF_028868935.1
Telluria,GCF_029028125.1
Tellurirhabdus,GCF_026278345.1
Telmatocola,GCF_018398935.1
Tenacibaculum,GCF_900198195.1
Tenuifilum,GCF_013265555.1
Tepidanaerobacter,GCF_000213235.1
Tepidiforma,GCF_008838325.1
Tepidimonas,GCF_020162115.1
Tepiditoga,GCF_014701195.1
Teredinibacter,GCF_014211975.1
Terribacillus,GCF_000725365.1
Terricaulis,GCF_009792355.1
Terriglobus,GCF_000265425.1
Terrihabitans,GCF_014191545.1
Tessaracoccus,GCF_001997345.1
Tetragenococcus,GCF_003795145.1
Thalassobius,GCF_012295595.1
Thalassoglobus,GCF_007744255.1
Thalassomonas,GCF_000948985.2
Thalassospira,GCF_002844375.1
Thalassotalea,GCF_001831495.1
Thauera,GCF_001051995.2
Thaumasiovibrio,GCF_019703835.1
Thermacetogenium,GCF_000305935.1
Thermaerobacter,GCF_000184705.1
Thermanaeromonas,GCF_900176005.1
Thermanaerosceptrum,GCF_000746025.2
Thermanaerovibrio,GCF_000237825.1
Thermoactinomyces,GCF_005886755.1
Thermoanaerobacter,GCF_000147695.2
Thermoanaerobacterium,GCF_000328545.1
Thermobacillus,GCF_000227705.2
Thermobaculum,GCF_000025005.1
Thermobifida,GCF_003574835.2
Thermobispora,GCF_017161365.1
Thermochromatium,GCF_009664085.1
Thermoclostridium,GCF_000331995.1
Thermocrinis,GCF_000512735.1
Thermodesulfatator,GCF_000217795.1
Thermodesulfobacterium,GCF_000734015.1
Thermodesulfobium,GCF_000212395.1
Thermodesulfovibrio,GCF_000020985.1
Thermogutta,GCF_002277955.1
Thermomicrobium,GCF_000021685.1
Thermomonas,GCF_014395425.1
Thermomonospora,GCF_003589885.1
Thermosediminibacter,GCF_000144645.1
Thermosipho,GCF_000021285.1
Thermostichus,GCF_002754935.1
Thermosulfidibacter,GCF_001547735.1
Thermosulfurimonas,GCF_012317585.1
Thermosulfuriphilus,GCF_011207455.1
Thermosynechococcus,GCF_000011345.1
Thermotoga,GCF_000828675.1
Thermotomaculum,GCF_016592575.1
Thermovibrio,GCF_000185805.1
Thermovirga,GCF_000233775.1
Thermus,GCF_004684245.1
Thioalkalivibrio,GCF_000321415.2
Thiocapsa,GCF_021228795.1
Thioclava,GCF_002085925.2
Thiocystis,GCF_000227745.2
Thioflavicoccus,GCF_000327045.1
Thiolapillus,GCF_000828615.1
Thiomicrorhabdus,GCF_004293625.1
Thiomicrospira,GCF_000227665.2
Thiomonas,GCF_000253115.1
Thiopseudomonas,GCF_001267255.1
Thiospirochaeta,GCF_008329945.1
Thiosulfatimonas,GCF_011398355.1
Thiosulfativibrio,GCF_011398155.1
Thiothrix,GCF_021650935.1
Thomasclavelia,GCF_016728785.1
Tichowtungia,GCF_009905215.1
Tistrella,GCF_000264455.2
Tolumonas,GCF_000023065.1
Tolypothrix,GCF_002368295.1
Treponema,GCF_000214375.1
Trichlorobacter,GCF_000020385.1
Trichormus,GCF_009856605.1
Tritonibacter,GCF_000376545.2
Tropheryma,GCF_000196075.1
Truepera,GCF_000092425.1
Trueperella,GCF_000612055.1
Tsukamurella,GCF_000092225.1
Tsuneonella,GCF_016925655.1
Tumebacillus,GCF_002162355.1
Turicibacter,GCF_013046825.1
Turicimonas,GCF_016696765.1
Turneriella,GCF_000266885.1
Tuwongella,GCF_901538355.1
Undibacterium,GCF_003955735.1
Urbifossiella,GCF_007747215.1
Ureaplasma,GCF_000941095.1
Urechidicola,GCF_001761325.1
Ureibacillus,GCF_002370195.2
Uruburuella,GCF_022870865.1
Usitatibacter,GCF_013003965.1
Vaginimicrobium,GCF_900155645.1
Vagococcus,GCF_014397115.1
Vallitalea,GCF_018141445.1
Variibacter,GCF_002355335.1
Veillonella,GCF_900186885.1
Venatoribacter,GCF_016132445.1
Verminephrobacter,GCF_000015565.1
Verrucomicrobium,GCF_000172155.1
Vescimonas,GCF_018408575.1
Vespertiliibacter,GCF_013377275.1
Vibrio,GCF_019977755.1
Virgibacillus,GCF_018075365.1
Vitreoscilla,GCF_002222655.1
Vulgatibacter,GCF_001263175.1
Waddlia,GCF_000092785.1
Weeksella,GCF_900637795.1
Weissella,GCF_001951095.1
Weizmannia,GCF_000832905.1
Wenyingzhuangia,GCF_001697185.1
Wenzhouxiangella,GCF_001187785.1
Wigglesworthia,GCF_000247565.1
Williamsoniiplasma,GCF_002803985.1
Winogradskyella,GCF_013394655.1
Woeseia,GCF_001677435.1
Wolinella,GCF_000196135.1
Xanthobacter,GCF_016807805.1
Xanthomonas,GCF_001908725.1
Xenorhabdus,GCF_001721185.1
Xiamenia,GCF_017945865.1
Xylanimonas,GCF_004135385.1
Xylella,GCF_020990565.1
Xylophilus,GCF_009906855.1
Yersinia,GCF_000582515.1
Youhaiella,GCF_008000755.1
Zhaonella,GCF_004353525.1
Zhongshania,GCF_001586255.1
Zhouia,GCF_022760175.1
Zobellella,GCF_002407485.1
Zobellia,GCF_000973105.1
Zophobihabitans,GCF_011745665.1
Zunongwangia,GCF_000023465.1
Zymobacter,GCF_003610015.1
Zymomonas,GCF_000498655.1
