"","species","assembly_accession","Goodman_r","Goodman_pvalue","Cambray_r","Cambray_pvalue"
"375","Dongshaea","GCF_003072645.1",0.6554,0,0.6737,0
"376","Draconibacterium","GCF_010448835.1",0.6685,0,0.4577,3e-04
"377","Duffyella","GCF_020342335.1",0.808,0,0.5385,0
"378","Duganella","GCF_012849375.1",0.6472,0,0.5142,0
"379","Duncaniella","GCF_004803915.1",0.7304,0,0.6167,0
"380","Duodenibacillus","GCF_928721995.1",0.5817,0,0.5064,0
"381","Echinicola","GCF_003260975.1",0.6043,0,0.6664,0
"382","Edaphobacter","GCF_025264645.1",0.7063,0,0.5782,0
"383","Edwardsiella","GCF_000264765.2",0.6842,0,0.5954,0
"384","Eggerthella","GCF_009834925.2",0.6784,0,0.5899,0
"385","Egibacter","GCF_004322855.1",0.6135,0,0.4811,1e-04
"386","Egicoccus","GCF_004300825.1",0.5699,0,0.3999,0.0017
"387","Ehrlichia","GCF_013460375.1",-0.0697,0.5999,-0.0985,0.4582
"388","Eikenella","GCF_900187105.1",0.6191,0,0.591,0
"389","Elizabethkingia","GCF_016599835.1",0.5367,0,0.3989,0.0018
"390","Elusimicrobium","GCF_000020145.1",0.6028,0,0.568,0
"391","Empedobacter","GCF_013488205.1",0.3273,0.0114,0.0944,0.4768
"392","Endomicrobium","GCF_001027545.1",0.2936,0.024,0.3141,0.0154
"393","Endozoicomonas","GCF_025562755.1",0.6116,0,0.529,0
"394","Ensifer","GCF_000697965.2",0.713,0,0.5534,0
"395","Enterobacter","GCF_001984825.2",0.7338,0,0.5954,0
"396","Enterobacteriaceae","GCF_012562605.1",-0.1654,0.2107,-0.4002,0.0017
"397","Enterocloster","GCF_002234575.2",0.6419,0,0.6698,0
"398","Enterococcus","GCF_019175485.1",0.6533,0,0.4947,1e-04
"399","Entomomonas","GCF_003991975.1",0.3204,0.0134,0.4088,0.0013
"400","Entomoplasma","GCF_002804205.1",0.2328,0.076,0.1656,0.21
"401","Entomospira","GCF_028748145.1",0.7507,0,0.6035,0
"402","Ephemeroptericola","GCF_003339525.1",0.5081,0,0.4513,3e-04
"403","Epidermidibacterium","GCF_009834025.1",0.6546,0,0.4556,3e-04
"404","Epilithonimonas","GCF_003860525.1",0.4954,1e-04,0.3544,0.0059
"405","Ereboglobus","GCF_003096195.1",0.5644,0,0.5632,0
"406","Erwinia","GCF_000196615.1",0.7631,0,0.5885,0
"407","Erysipelothrix","GCF_001545095.1",0.367,0.0042,0.4224,9e-04
"408","Escherichia","GCF_000008865.2",0.7553,0,0.5043,0
"409","Ethanoligenens","GCF_000178115.2",0.7186,0,0.6273,0
"410","Eubacterium","GCF_000807675.2",0.6898,0,0.6406,0
"411","Euhalothece","GCF_007904085.1",0.2819,0.0305,0.2729,0.0365
"412","Euzebya","GCF_003344865.1",0.5948,0,0.4458,4e-04
"413","Euzebyella","GCF_003687485.1",0.5041,0,0.5529,0
"414","Evansella","GCF_000177235.2",0.3581,0.0054,0.1449,0.2736
"415","Exiguobacterium","GCF_018604565.1",0.63,0,0.3119,0.0162
"416","Ezakiella","GCF_900120165.1",0.4119,0.0012,0.4196,9e-04
"417","Faecalibacillus","GCF_015097455.1",0.4095,0.0013,0.2374,0.0702
"418","Faecalibacterium","GCF_010509575.1",0.5657,0,0.6384,0
"419","Faecalibaculum","GCF_001564455.1",0.6294,0,0.6036,0
"420","Falsihalocynthiibacter","GCF_000812665.2",0.6457,0,0.5391,0
"421","Fastidiosipila","GCF_002998295.1",0.2588,0.0478,0.2892,0.0263
"422","Fenollaria","GCF_023347705.1",0.2396,0.0676,0.2551,0.0512
"423","Ferribacterium","GCF_020510565.1",0.6178,0,0.4857,1e-04
"424","Ferrigenium","GCF_018324385.1",0.665,0,0.6203,0
"425","Ferrimonas","GCF_000148645.1",0.7648,0,0.5985,0
"426","Ferriphaselus","GCF_000974685.2",0.5688,0,0.5868,0
"427","Ferrovibrio","GCF_007197755.1",0.6546,0,0.4968,1e-04
"428","Ferrovum","GCF_013181415.1",0.5338,0,0.5843,0
"429","Fervidobacterium","GCF_004117075.1",0.1745,0.1862,0.0148,0.9115
"430","Fibrella","GCF_000331105.1",0.6229,0,0.4928,1e-04
"431","Fibrobacter","GCF_000146505.1",0.6659,0,0.5938,0
"432","Fictibacillus","GCF_001629705.1",0.4464,4e-04,0.3095,0.0171
"433","Filifactor","GCF_000163895.2",0.6311,0,0.4838,1e-04
"434","Filimonas","GCF_002355595.1",0.6509,0,0.466,2e-04
"435","Fimbriimonas","GCF_000724625.1",0.5731,0,0.4752,1e-04
"436","Flammeovirga","GCF_018736045.1",0.1562,0.2373,0.1836,0.164
"437","Flaviflexus","GCF_003971195.1",0.4787,1e-04,0.4561,3e-04
"438","Flavisolibacter","GCF_001644645.1",0.4925,1e-04,0.4192,0.001
"439","Flavivirga","GCF_002886045.1",0.418,0.001,0.3839,0.0027
"440","Flavobacterium","GCF_000016645.1",0.5072,0,0.1778,0.1778
"441","Flavonifractor","GCF_010508875.1",0.574,0,0.6661,0
"442","Flexistipes","GCF_000218625.1",0.4715,2e-04,0.5043,0
"443","Fluoribacter","GCF_000236145.1",0.6221,0,0.5301,0
"444","Fluviibacter","GCF_009938305.1",0.5223,0,0.578,0
"445","Fluviicola","GCF_000194605.1",0.3353,0.0094,0.2656,0.042
"446","Fluviispira","GCF_004295685.1",0.5182,0,0.2068,0.116
"447","Formicincola","GCF_006542395.2",0.4412,5e-04,0.3891,0.0023
"448","Formosa","GCF_000723205.1",0.4493,4e-04,0.236,0.0719
"449","Francisella","GCF_001895265.1",0.1712,0.1949,0.162,0.2201
"450","Frankia","GCF_000058485.1",0.624,0,0.4601,2e-04
"451","Frederiksenia","GCF_011455495.1",0.6168,0,0.5012,1e-04
"452","Fretibacterium","GCF_000210715.1",0.5621,0,0.5681,0
"453","Friedmanniella","GCF_900105065.1",0.5492,0,0.4409,5e-04
"454","Frigidibacter","GCF_001620265.1",0.6051,0,0.5444,0
"455","Frischella","GCF_000807275.1",0.2034,0.1223,0.0867,0.5136
"456","Fuerstiella","GCF_001983935.1",0.6506,0,0.3923,0.0021
"457","Furfurilactobacillus","GCF_013394005.1",0.6321,0,0.5213,0
"458","Fuscovulum","GCF_003071405.1",0.6502,0,0.4845,1e-04
"459","Fusobacterium","GCF_003019675.1",0.1439,0.2769,-0.0034,0.9794
"460","Gallaecimonas","GCF_003367375.1",0.5762,0,0.4963,1e-04
"461","Gallionella","GCF_000145255.1",0.6733,0,0.6627,0
"462","Gemella","GCF_900638055.1",0.1956,0.1377,0.079,0.552
"463","Geminocystis","GCF_000332235.1",0.3329,0.01,0.5339,0
"464","Gemmata","GCF_901538265.1",0.5609,0,0.4559,3e-04
"465","Gemmatimonas","GCF_013004105.1",0.5352,0,0.4771,1e-04
"466","Gemmatirosa","GCF_000522985.1",0.5501,0,0.486,1e-04
"467","Geobacillus","GCF_002243665.1",0.7249,0,0.4315,6e-04
"468","Geobacter","GCF_000012925.1",0.6587,0,0.6764,0
"469","Geodermatophilus","GCF_000025345.1",0.556,0,0.3893,0.0023
"470","Georgenia","GCF_006352065.1",0.6312,0,0.4949,1e-04
"471","Georhizobium","GCF_003952725.1",0.7047,0,0.5291,0
"472","Geosporobacter","GCF_001750685.1",0.5257,0,0.4992,1e-04
"473","Geotalea","GCF_000016745.1",0.6676,0,0.6501,0
"474","Geovibrio","GCF_004087915.1",0.5355,0,0.6038,0
"475","Gephyromycinifex","GCF_012277275.1",0.6548,0,0.4254,8e-04
"476","Gibbsiella","GCF_002291425.1",0.7513,0,0.549,0
"477","Gilliamella","GCF_000599985.1",0.4208,9e-04,0.1114,0.401
"478","Gimesia","GCF_009720525.1",0.723,0,0.5255,0
"479","Glaciecola","GCF_000226565.1",0.5924,0,0.5012,1e-04
"480","Glaesserella","GCF_017352235.1",0.4706,2e-04,0.4214,9e-04
"481","Gleimia","GCF_002871945.2",0.5982,0,0.4515,3e-04
"482","Gloeomargarita","GCF_001870225.1",0.438,5e-04,0.406,0.0014
"483","Gloeothece","GCF_000147335.1",0.36,0.0051,0.2411,0.0659
"484","Gluconacetobacter","GCF_000021325.1",0.6092,0,0.4669,2e-04
"485","Gluconobacter","GCF_002005485.1",0.5952,0,0.3976,0.0018
"486","Glutamicibacter","GCF_016894325.1",0.6704,0,0.6155,0
"487","Glycocaulis","GCF_004000605.1",0.6348,0,0.5658,0
"488","Gordonia","GCF_003855095.1",0.6055,0,0.4765,1e-04
"489","Gottschalkia","GCF_000299355.1",-0.0197,0.8824,-0.1154,0.3842
"490","Gracilibacillus","GCF_009650095.1",0.5026,0,0.2353,0.0729
"491","Gracilinema","GCF_000219725.1",0.6342,0,0.5349,0
"492","Granulibacter","GCF_001889445.1",0.5858,0,0.4927,1e-04
"493","Granulicatella","GCF_019931005.1",0.5326,0,0.3883,0.0024
"494","Granulicella","GCF_000178955.2",0.6807,0,0.5708,0
"495","Granulosicoccus","GCF_002215215.1",0.6247,0,0.5045,0
"496","Grimontia","GCF_001558255.2",0.7211,0,0.5614,0
"497","Gryllotalpicola","GCF_003627055.1",0.6131,0,0.4304,7e-04
"498","Gudongella","GCF_004101785.1",0.4161,0.001,0.5195,0
"499","Gulosibacter","GCF_003010915.2",0.607,0,0.5288,0
"500","Gynuella","GCF_000940805.1",0.7064,0,0.5603,0
"501","Haematobacter","GCF_004328555.1",0.5946,0,0.5695,0
"502","Haematospirillum","GCF_001611975.1",0.4207,9e-04,0.4368,5e-04
"503","Haemophilus","GCF_900186995.1",0.474,1e-04,0.3776,0.0032
"504","Hafnia","GCF_020150375.1",0.7053,0,0.5268,0
"505","Hahella","GCF_000012985.1",0.7246,0,0.6069,0
"506","Halalkalibacterium","GCF_005671335.1",0.5764,0,0.4346,6e-04
"507","Halanaerobium","GCF_000166415.1",0.3284,0.0111,0.1722,0.1923
"508","Halarcobacter","GCF_013201825.1",-0.1179,0.3737,-0.0013,0.9923
"509","Haliangium","GCF_000024805.1",0.6657,0,0.5323,0
"510","Halioglobus","GCF_009388985.1",0.7166,0,0.5814,0
"511","Haliscomenobacter","GCF_000212735.1",0.5915,0,0.486,1e-04
"512","Halobacillus","GCF_000284515.1",0.6559,0,0.4877,1e-04
"513","Halobacteriovorax","GCF_000210915.2",0.1341,0.3111,0.1943,0.1403
"514","Halobacteroides","GCF_000328625.1",0.1403,0.2892,0.0016,0.9906
"515","Halomicronema","GCF_002075285.3",0.5294,0,0.5125,0
"516","Halomonas","GCF_014697095.1",0.7077,0,0.603,0
"517","Halopseudomonas","GCF_900105255.1",0.6809,0,0.596,0
"518","Halorhodospira","GCF_002356555.2",0.5617,0,0.5344,0
"519","Halothermothrix","GCF_000020485.1",0.4633,2e-04,0.2812,0.031
"520","Halothiobacillus","GCF_000024765.1",0.6503,0,0.6088,0
"521","Hankyongella","GCF_005144965.1",0.616,0,0.3614,0.0049
"522","Haploplasma","GCF_900660745.1",-0.059,0.6571,-0.0623,0.6392
"523","Hartmannibacter","GCF_900231165.1",0.6705,0,0.5086,0
"524","Hathewaya","GCF_901482605.1",-0.1939,0.1412,-0.1183,0.372
"525","Helicobacter","GCF_000284635.1",0.3987,0.0018,0.5021,1e-04
"526","Heliomicrobium","GCF_000019165.1",0.6873,0,0.5126,0
"527","Heliorestis","GCF_009649955.1",0.3697,0.004,-0.0734,0.5807
"528","Herbaspirillum","GCF_004367745.1",0.621,0,0.5628,0
"529","Herbinix","GCF_900070325.1",0.4331,6e-04,0.4687,2e-04
"530","Herminiimonas","GCF_900130075.1",0.5082,0,0.4357,6e-04
"531","Heyndrickxia","GCF_016772275.1",0.3803,0.003,0.1949,0.139
"532","Hippea","GCF_000194135.1",0.1148,0.3865,0.1609,0.2233
"533","Hirschia","GCF_000023785.1",0.4372,5e-04,0.1689,0.2011
"534","Histophilus","GCF_000019405.1",0.5135,0,0.455,3e-04
"535","Hoeflea","GCF_000154705.2",0.6651,0,0.5684,0
"536","Hoylesella","GCF_020735565.1",0.6297,0,0.6923,0
"537","Hoyosella","GCF_000214175.1",0.6332,0,0.3779,0.0032
"538","Humibacter","GCF_007859675.1",0.5192,0,0.5256,0
"539","Hydrocarboniclastica","GCF_004851605.1",0.6972,0,0.5811,0
"540","Hydrogenobacter","GCF_000164905.1",0.2241,0.088,0.2533,0.0529
"541","Hydrogenophaga","GCF_001761385.1",0.5619,0,0.5479,0
"542","Hydrogenophilus","GCF_003574215.1",0.7015,0,0.4875,1e-04
"543","Hydrogenovibrio","GCF_004028275.1",0.7122,0,0.5463,0
"544","Hymenobacter","GCF_022827545.1",0.4776,1e-04,0.5634,0
"545","Hypericibacter","GCF_008728855.1",0.6713,0,0.5959,0
"546","Hyphococcus","GCF_028748065.1",0.6389,0,0.4618,2e-04
"547","Hyphomicrobium","GCF_000503895.1",0.7529,0,0.5383,0
"548","Hyphomonas","GCF_000013025.1",0.6886,0,0.5337,0
"549","Iamia","GCF_028532485.1",0.6434,0,0.4021,0.0016
"550","Ichthyobacterium","GCF_002369955.1",0.2051,0.1192,0.0611,0.6455
"551","Ideonella","GCF_021049305.1",0.5849,0,0.5447,0
"552","Idiomarina","GCF_000008465.1",0.6693,0,0.5191,0
"553","Ignavibacterium","GCF_000258405.1",0.3353,0.0094,0.1678,0.2041
"554","Ignavigranum","GCF_023195815.2",0.584,0,0.5411,0
"555","Ilumatobacter","GCF_000348785.1",0.5784,0,0.445,4e-04
"556","Ilyobacter","GCF_000165505.1",0.1436,0.2778,0.317,0.0144
"557","Immundisolibacter","GCF_001697225.1",0.6405,0,0.5389,0
"558","Indioceanicola","GCF_003568845.1",0.616,0,0.5866,0
"559","Inhella","GCF_005952805.1",0.6047,0,0.5199,0
"560","Intestinibaculum","GCF_003925875.1",0.7246,0,0.4507,3e-04
"561","Intrasporangium","GCF_000184685.1",0.586,0,0.4888,1e-04
"562","Iocasia","GCF_017751145.1",0.3665,0.0043,0.1735,0.1888
"563","Iodobacter","GCF_003952345.1",0.4231,8e-04,0.4213,9e-04
"564","Isoalcanivorax","GCF_000299335.2",0.7154,0,0.5129,0
"565","Isoptericola","GCF_001636295.1",0.615,0,0.4402,5e-04
"566","Isorropodon","GCF_016592615.1",0.367,0.0043,0.3595,0.0052
"567","Isosphaera","GCF_000186345.1",0.6256,0,0.3854,0.0026
"568","Janibacter","GCF_003721155.3",0.6041,0,0.3503,0.0065
"569","Janthinobacterium","GCF_013372045.1",0.6677,0,0.5155,0
"570","Jatrophihabitans","GCF_023516435.1",0.611,0,0.4178,0.001
"571","Jejubacter","GCF_005671395.1",0.7242,0,0.5923,0
"572","Jeotgalibaca","GCF_003955755.1",0.6022,0,0.2933,0.0241
"573","Jeotgalibacillus","GCF_000818095.1",0.6207,0,0.4867,1e-04
"574","Jeotgalicoccus","GCF_000756715.1",0.6926,0,0.4364,5e-04
"575","Jiangella","GCF_900105925.1",0.5822,0,0.4047,0.0015
"576","Jinshanibacter","GCF_004295645.1",0.7013,0,0.4887,1e-04
"577","Jonesia","GCF_900475835.1",0.3769,0.0033,0.1976,0.1337
"578","Kaistella","GCF_900638245.1",0.4154,0.0011,0.2847,0.0289
"579","Kaustia","GCF_015482775.1",0.6672,0,0.5711,0
"580","Keratinibaculum","GCF_016767175.1",-0.1567,0.236,-0.0188,0.8874
"581","Ketobacter","GCF_002863865.1",0.6776,0,0.6717,0
"582","Ketogulonicigenium","GCF_001399515.1",0.6504,0,0.4635,2e-04
"583","Kibdelosporangium","GCF_001302585.1",0.5864,0,0.4139,0.0011
"584","Kineobactrum","GCF_010669285.1",0.6705,0,0.5869,0
"585","Kineococcus","GCF_000017305.1",0.459,3e-04,0.3191,0.0138
"586","Kingella","GCF_014054985.1",0.4876,1e-04,0.4455,4e-04
"587","Kiritimatiella","GCF_001017655.1",0.7305,0,0.5874,0
"588","Kitasatospora","GCF_000269985.1",0.5439,0,0.4593,3e-04
"589","Klebsiella","GCF_003261575.2",0.7635,0,0.5728,0
"590","Kluyvera","GCF_023195735.1",0.7621,0,0.5399,0
"591","Kocuria","GCF_001580365.1",0.5301,0,0.5141,0
"592","Komagataeibacter","GCF_002173515.1",0.6433,0,0.4838,1e-04
"593","Kordia","GCF_009901525.1",0.4007,0.0017,0.1112,0.4017
"594","Kordiimonas","GCF_015240255.1",0.6495,0,0.4973,1e-04
"595","Kosakonia","GCF_008330085.1",0.78,0,0.5088,0
"596","Kosmotoga","GCF_000023325.1",0.3179,0.0142,0.2531,0.0531
"597","Kovacikia","GCF_020091585.1",0.5157,0,0.3851,0.0026
"598","Kozakia","GCF_001787355.1",0.5563,0,0.4499,4e-04
"599","Kribbella","GCF_014217565.1",0.5529,0,0.4189,0.001
"600","Kroppenstedtia","GCF_013282215.1",0.6511,0,0.5638,0
"601","Ktedonosporobacter","GCF_004208415.1",0.6929,0,0.5677,0
"602","Kushneria","GCF_002157205.1",0.7314,0,0.604,0
"603","Kutzneria","GCF_028622115.1",0.6573,0,0.5091,0
"604","Kyrpidia","GCF_000092905.1",0.645,0,0.5028,0
"605","Labilibaculum","GCF_002356295.1",0.556,0,0.406,0.0014
"606","Labilithrix","GCF_001263205.1",0.594,0,0.4465,4e-04
"607","Lachnoanaerobaculum","GCF_003589745.1",0.2505,0.0556,0.4455,4e-04
"608","Lachnoclostridium","GCF_000018685.1",0.5002,1e-04,0.3968,0.0019
"609","Lacinutrix","GCF_001971745.1",0.1024,0.4402,0.0503,0.7051
"610","Lacipirellula","GCF_009177095.1",0.5634,0,0.47,2e-04
"611","Lacrimispora","GCF_026723765.1",0.5683,0,0.5967,0
"612","Lacticaseibacillus","GCF_009184845.1",0.6593,0,0.597,0
"613","Lactiplantibacillus","GCF_003641185.1",0.692,0,0.4931,1e-04
"614","Lactobacillus","GCF_016647595.1",0.3822,0.0028,0.3026,0.0199
"615","Lactococcus","GCF_003627095.1",0.5792,0,0.4584,3e-04
"616","Lacunisphaera","GCF_001746835.1",0.5876,0,0.5638,0
"617","Lancefieldella","GCF_000024225.1",0.5749,0,0.4204,9e-04
"618","Lapidilactobacillus","GCF_008831385.1",0.5182,0,0.3386,0.0087
"619","Larkinella","GCF_026248825.1",0.682,0,0.4751,1e-04
"620","Latilactobacillus","GCF_900258455.1",0.6235,0,0.4139,0.0011
"621","Lautropia","GCF_900637555.1",0.598,0,0.551,0
"622","Lawsonella","GCF_001293125.1",0.5962,0,0.4796,1e-04
"623","Lawsonia","GCF_000331715.1",-0.2595,0.0471,-0.3229,0.0126
"624","Leadbettera","GCF_000214355.1",0.6066,0,0.6244,0
"625","Leadbetterella","GCF_000166395.1",0.2719,0.0372,0.4376,5e-04
"626","Leclercia","GCF_001518835.1",0.7792,0,0.5784,0
"627","Lederbergia","GCF_900478165.1",0.3789,0.0031,0.2727,0.0366
"628","Leeuwenhoekiella","GCF_020310025.1",0.5649,0,0.4899,1e-04
"629","Legionella","GCF_002848365.2",0.3231,0.0126,0.4043,0.0015
"630","Leifsonia","GCF_000470775.1",0.5062,0,0.3609,0.005
"631","Leisingera","GCF_000511355.1",0.6944,0,0.5603,0
"632","Lelliottia","GCF_019355955.1",0.781,0,0.5306,0
"633","Leminorella","GCF_900478135.1",0.678,0,0.5527,0
"634","Lentibacillus","GCF_001307805.1",0.6324,0,0.4359,6e-04
"635","Lentilactobacillus","GCF_009832765.1",0.6387,0,0.5083,0
"636","Lentisphaera","GCF_028728065.1",0.5221,0,0.444,4e-04
"637","Lentzea","GCF_001701025.1",0.6208,0,0.4968,1e-04
"638","Leptolyngbya","GCF_002142475.1",0.5245,0,0.1921,0.1451
"639","Leptospira","GCF_002073495.2",0.026,0.8448,0.0332,0.8031
"640","Leptospirillum","GCF_000284315.1",0.5597,0,0.5425,0
"641","Leptothermofonsia","GCF_019891175.1",0.6022,0,0.4722,2e-04
"642","Leptothrix","GCF_000019785.1",0.6237,0,0.5412,0
"643","Leptotrichia","GCF_007990365.1",0.3758,0.0034,0.3552,0.0058
"644","Leucobacter","GCF_011299575.1",0.5995,0,0.5146,0
"645","Leuconostoc","GCF_016127255.1",0.4832,1e-04,0.4559,3e-04
"646","Levilactobacillus","GCF_001050435.1",0.6748,0,0.5514,0
"647","Liberibacter","GCF_001543305.1",0.1747,0.1858,0.0122,0.927
"648","Lichenicola","GCF_013201075.1",0.6139,0,0.4708,2e-04
"649","Ligilactobacillus","GCF_900116935.1",0.6206,0,0.3701,0.0039
"650","Lignipirellula","GCF_007751035.1",0.6812,0,0.5016,1e-04
"651","Limihaloglobus","GCF_001999965.1",0.6357,0,0.6258,0
"652","Limnobaculum","GCF_003096015.2",0.7176,0,0.4961,1e-04
"653","Limnochorda","GCF_001544015.1",0.5809,0,0.5259,0
"654","Limnoglobus","GCF_008254045.1",0.4684,2e-04,0.4583,3e-04
"655","Limnospira","GCF_000973065.1",0.4528,3e-04,0.4474,4e-04
"656","Limosilactobacillus","GCF_014898655.1",0.7025,0,0.5842,0
"657","Liquorilactobacillus","GCF_009184705.1",0.4336,6e-04,0.4021,0.0016
"658","Listeria","GCF_003534205.1",0.6381,0,0.4688,2e-04
"659","Litorilituus","GCF_004295665.1",0.3443,0.0076,0.3416,0.0081
"660","Litorivicinus","GCF_009650135.1",0.7022,0,0.5256,0
"661","Loigolactobacillus","GCF_009650015.1",0.6912,0,0.5082,0
"662","Loktanella","GCF_024206795.1",0.661,0,0.525,0
"663","Longicatena","GCF_018406465.1",0.5982,0,0.4628,2e-04
"664","Lonsdalea","GCF_003515985.1",0.7703,0,0.5351,0
"665","Luteibacter","GCF_023699965.1",0.6173,0,0.5737,0
"666","Luteimicrobium","GCF_009429125.1",0.5411,0,0.3727,0.0036
"667","Luteipulveratus","GCF_001190945.1",0.6415,0,0.4569,3e-04
"668","Luteitalea","GCF_001618865.1",0.6214,0,0.4721,2e-04
"669","Luteithermobacter","GCF_005849285.1",0.6995,0,0.5864,0
"670","Luteolibacter","GCF_012913485.1",0.5451,0,0.5627,0
"671","Lutibacter","GCF_001543325.1",0.1097,0.4081,0.0946,0.4762
"672","Lysinibacillus","GCF_016638705.1",0.4752,1e-04,0.2676,0.0405
"673","Lysobacter","GCF_002355295.1",0.6454,0,0.5109,0
"674","Macrococcus","GCF_024205965.1",0.5584,0,0.3703,0.0039
"675","Mageeibacillus","GCF_000025225.2",0.6734,0,0.5048,0
"676","Magnetococcus","GCF_000014865.1",0.5432,0,0.574,0
"677","Magnetospirillum","GCF_000009985.1",0.6214,0,0.528,0
"678","Mahella","GCF_000213255.1",0.5833,0,0.5466,0
"679","Maioricimonas","GCF_007747795.1",0.6879,0,0.5021,1e-04
"680","Malaciobacter","GCF_003346775.1",-0.369,0.004,-0.2614,0.0455
"681","Malacoplasma","GCF_000011225.1",-0.037,0.7811,-0.2497,0.0565
"682","Mammaliicoccus","GCF_002209165.2",0.2378,0.0698,-0.1842,0.1625
"683","Mangrovibacillus","GCF_015482585.1",0.2,0.1289,0.1676,0.2046
"684","Mangrovivirga","GCF_005166025.1",0.4112,0.0012,0.2439,0.0627
"685","Mannheimia","GCF_002285575.1",0.4936,1e-04,0.5463,0
"686","Maribacter","GCF_002269385.1",0.5062,0,0.6005,0
"687","Maribellus","GCF_009762775.1",0.7201,0,0.5505,0
"688","Marichromatium","GCF_000224005.2",0.656,0,0.6309,0
"689","Maridesulfovibrio","GCF_000023445.1",0.6823,0,0.6291,0
"690","Marinagarivorans","GCF_021655555.1",0.4903,1e-04,0.4315,6e-04
"691","Mariniblastus","GCF_008087665.1",0.616,0,0.4463,4e-04
"692","Marinicauda","GCF_017161425.1",0.524,0,0.5242,0
"693","Marinithermus","GCF_000195335.1",0.6907,0,0.6335,0
"694","Marinitoga","GCF_000255135.1",-0.2146,0.1027,-0.3636,0.0046
"695","Marinobacter","GCF_002116735.1",0.6962,0,0.6336,0
"696","Marinobacterium","GCF_001651805.1",0.7055,0,0.6492,0
"697","Marinomonas","GCF_000192865.1",0.5941,0,0.4766,1e-04
"698","Mariprofundus","GCF_002795805.1",0.6244,0,0.6077,0
"699","Marisediminicola","GCF_009930795.1",0.5923,0,0.5335,0
"700","Marivirga","GCF_000183425.1",0.3592,0.0052,0.3025,0.0199
"701","Marmoricola","GCF_900104965.1",0.4742,1e-04,0.4186,0.001
"702","Martelella","GCF_002043005.1",0.6737,0,0.5818,0
"703","Marvinbryantia","GCF_025148285.1",0.7003,0,0.6325,0
"704","Massilia","GCF_002752675.1",0.6854,0,0.5687,0
"705","Massilistercora","GCF_900312975.1",0.6866,0,0.645,0
"706","Megalodesulfovibrio","GCF_000468495.1",0.6182,0,0.5879,0
"707","Megamonas","GCF_019974115.1",0.298,0.0219,-0.0747,0.5738
"708","Megasphaera","GCF_003315775.1",0.6839,0,0.4625,2e-04
"709","Meiothermus","GCF_000376665.1",0.6585,0,0.6058,0
"710","Melaminivora","GCF_003008575.1",0.5427,0,0.4788,1e-04
"711","Melioribacter","GCF_000279145.1",0.6321,0,0.5211,0
"712","Melissococcus","GCF_003966875.1",0.3723,0.0037,0.1462,0.2691
"713","Melittangium","GCF_002305855.1",0.6082,0,0.5761,0
"714","Mergibacter","GCF_003265225.1",0.3692,0.004,0.0139,0.9167
"715","Mesobacillus","GCF_002874535.1",0.5388,0,0.4439,4e-04
"716","Mesoflavibacter","GCF_014764305.1",0.0508,0.7025,-0.0519,0.696
"717","Mesomycoplasma","GCF_000941075.1",0.2147,0.1025,0.1436,0.278
"718","Mesoplasma","GCF_002843565.1",0.0566,0.6701,-0.0241,0.8562
"719","Mesotoga","GCF_000147715.2",0.4363,6e-04,0.3748,0.0034
"720","Metabacillus","GCF_009720625.1",0.4475,4e-04,0.2561,0.0502
"721","Metamycoplasma","GCF_024297005.1",-0.1735,0.1889,-0.2132,0.1049
"722","Methylacidiphilum","GCF_000019665.1",0.4512,3e-04,0.487,1e-04
"723","Methylibium","GCF_000015725.1",0.6113,0,0.5148,0
"724","Methylobacillus","GCF_000013705.1",0.6454,0,0.6334,0
"725","Methylobacterium","GCF_000022085.1",0.6122,0,0.4767,1e-04
"726","Methylocaldum","GCF_003584645.1",0.637,0,0.5899,0
"727","Methyloceanibacter","GCF_000828475.1",0.6707,0,0.5713,0
"728","Methylocella","GCF_000021745.1",0.71,0,0.4641,2e-04
"729","Methylococcus","GCF_012769535.1",0.6632,0,0.6329,0
"730","Methylocystis","GCF_004802635.2",0.6332,0,0.5704,0
"731","Methylogaea","GCF_019669985.1",0.6512,0,0.626,0
"732","Methylomagnum","GCF_019670005.1",0.6231,0,0.6108,0
"733","Methylomicrobium","GCF_000214275.2",0.685,0,0.5834,0
"734","Methylomonas","GCF_000785705.2",0.5837,0,0.5691,0
"735","Methylomusa","GCF_003966895.1",0.612,0,0.4636,2e-04
"736","Methylophilus","GCF_006363915.1",0.5909,0,0.5362,0
"737","Methylorubrum","GCF_000083545.1",0.6755,0,0.5117,0
"738","Methylotenera","GCF_000093025.1",0.4905,1e-04,0.4963,1e-04
"739","Methylotuvimicrobium","GCF_005931095.1",0.5637,0,0.4983,1e-04
"740","Methylovirgula","GCF_004135935.1",0.673,0,0.4672,2e-04
"741","Methylovorus","GCF_000023745.1",0.6976,0,0.6389,0
"742","Methylovulum","GCF_002209385.1",0.6544,0,0.5255,0
"743","Micavibrio","GCF_000226315.1",0.5896,0,0.4366,5e-04
"744","Microbacterium","GCF_021172025.1",0.5655,0,0.5128,0
"745","Microbulbifer","GCF_020991125.1",0.6968,0,0.612,0
"746","Microcella","GCF_012530535.1",0.5975,0,0.4492,4e-04
"747","Micrococcus","GCF_019890915.1",0.4146,0.0011,0.4044,0.0015
"748","Microlunatus","GCF_900105385.1",0.614,0,0.4458,4e-04
"749","Micromonospora","GCF_900091495.1",0.5867,0,0.4817,1e-04
"750","Micropruina","GCF_900289045.1",0.5392,0,0.4611,2e-04
